estado,NameState,year,Homicides,MortInfResp,Poverty,AccessHealth,WomenActiveEcon,Analfabeto,AveSchool,LifeExp,MortInf,HospBeds,DocNurse,NetMigration,WomenAdmin,AveSalary,GDPpc
28,Tamaulipas,2004,7.44427217847196,16.0122974444373,40.545074099997,56.1374550117818,36.2012314460905,4.6,8.59395899113994,74.9738856190661,15.4414180447128,0.883056108637407,3.1507468424706,0.145676135119165,0.392436271332901,5680.90633680015,88393.9772325595
29,Tlaxcala,2004,24.0190748406658,62.7347590270554,62.45217005214,36.9161170763613,35.9055743347454,6.9,8.1952533731216,74.0089648402674,21.6445214712112,0.515486298503519,2.61161248363701,-0.241945988491168,0.891829914317204,3275.98477576671,47284.063876494
30,Veracruz,2004,6.30731432792582,33.7414505118776,56.94589529867,35.4110937927482,33.7639167362327,13.6,7.02902792634779,72.8054970506188,18.4151122727813,0.65677453711434,2.39488046825502,-0.894187274064202,0.332290370847346,3980.48431470745,54140.2988974783
31,Yucatán,2004,1.64547116969964,11.37847517596,52.2673667701702,51.4356187465239,37.8623608197434,11.1,7.426359187592,74.5094032125303,14.5777172917375,0.809023325102321,2.98214224988564,-0.148366650467917,0.435993696700037,3761.47479833604,65862.4521866444
32,Zacatecas,2004,3.83907973768615,16.4282464742456,74.3916680754365,35.9596128811595,33.6652529946122,7.3,7.08,74.2183965511096,15.5262518230433,0.522114844325317,2.2727352047102,-1.44593703211216,0.166699837463097,3790.3847807618,43837.6694485106
01,Aguascalientes,2005,1.73241326992093,11.522949875168,42.7983256874803,61.7190463338488,36.9345977360208,4.2,8.7,74.9711546901631,13.6232740160969,0.747673095439559,3.64536223849678,-0.425808945817407,0.496867408259813,4572.58108325,88449.2868910332
02,Baja California,2005,98.5778454065285,23.8961677374426,35.5963606525982,61.2749658904498,35.3091140589025,3.1,8.86,73.0799074818967,17.2454268017408,0.568206397283047,2.14682453305794,0.833872929136594,0.212227125625184,6087.21072375,107097.661825279
03,Baja California Sur,2005,1.16731223611019,12.4843945068664,31.9346136216141,65.7219775557084,34.685487547204,3.6,8.93,75.0895122699536,14.2485799557139,0.881531010870996,3.52429514097181,1.78958110816861,0.123853311439518,6010.1053325,124722.187597078
04,Campeche,2005,6.63978638114717,13.896258116678,60.7150099644456,45.315370324321,35.3820588018658,10.2,7.87,74.2427546776897,14.4062956146475,0.893116364209208,3.67661896869796,0.210129710179834,0.32637072084609,4405.559356,123430.144930665
05,Coahuila,2005,5.37194330628811,17.810086324398,25.1182423245938,74.6270750580286,34.707894061925,3.3,9.03,75.0372346060896,11.7887059503177,0.895452707961838,2.68287988721238,-0.218201380628077,0.220137632238307,5029.924203,112682.937799854
06,Colima,2005,5.89397248693643,13.4727765708415,35.1316653538322,53.0913885693982,39.6306053863842,6.4,8.42,75.0383306854655,13.8508490492214,0.879043896623091,3.91359773132579,0.153916881515997,0.310883280757098,4766.98540575,87389.6675593619
07,Chiapas,2005,9.12281596488397,61.2368826844612,81.422710183958,21.9321948352112,29.7403632128545,21.3,6.07,71.3490754696388,20.4645460347318,0.434817589844349,1.69948169215706,-0.510591919075566,0.544492739649421,2350.85616575,33674.8932916741
08,Chihuahua,2005,16.8179826432303,38.5143313854155,45.1322138399127,61.7105294943077,34.1758983553418,4.4,8.31,72.6401586859278,17.4042693504222,0.714611371585988,2.0952148558439,0.012261838254428,0.193874654156141,5199.752244,82244.4758319028
09,Ciudad de México,2005,7.77246931238701,31.5367131798454,28.760360912745,58.1141071988321,41.6416299083498,2.6,10.15,75.1198821631685,13.6386529228083,1.22455365370086,4.33654792122636,-1.11942488181225,0.528628017459883,5719.40421625,179221.105063852
